date,code,relative_quoted_spread
2014-12-13,BTCUSD,0.0009212079339033
2014-12-14,BTCUSD,0.0001699283468804
2014-12-15,BTCUSD,0.0004024144869216
2014-12-16,BTCUSD,6.078288354011261e-05
2014-12-17,BTCUSD,0.0004390090937599
2014-12-18,BTCUSD,6.429421030630344e-05
2014-12-19,BTCUSD,3.136910456905986e-05
2014-12-20,BTCUSD,0.0017014553519885
2014-12-21,BTCUSD,0.0003103565997329
2014-12-22,BTCUSD,0.0010271593003233
2014-12-23,BTCUSD,2.975614836412868e-05
2014-12-24,BTCUSD,0.0006184291898577
2014-12-25,BTCUSD,0.000283326250177
2014-12-26,BTCUSD,3.0254897511507167e-05
2014-12-27,BTCUSD,0.0011379800853483
2014-12-28,BTCUSD,0.0001263503695748
2014-12-29,BTCUSD,0.0002226994352978
2014-12-30,BTCUSD,0.0007726482518833
2014-12-31,BTCUSD,0.0010949647264933
2015-01-01,BTCUSD,0.0004442610985941
2015-01-02,BTCUSD,9.518219458404656e-05
2015-01-03,BTCUSD,0.0014235369685607
2015-01-04,BTCUSD,0.0004987052843578
2015-01-05,BTCUSD,0.0064878040037994
2015-01-06,BTCUSD,0.0011118059898547
2015-01-08,BTCUSD,0.0001055798975876
2015-01-09,BTCUSD,3.448097512194509e-05
2015-01-10,BTCUSD,0.0017972681524083
2015-01-11,BTCUSD,0.0007081493076908
2015-01-12,BTCUSD,0.0010028786331137
2015-01-13,BTCUSD,0.0034517538944301
2015-01-14,BTCUSD,0.000224744353298
2015-01-15,BTCUSD,0.0009073326806905
2015-01-16,BTCUSD,0.0010534884834554
2015-01-17,BTCUSD,5.011149808318962e-05
2015-01-18,BTCUSD,0.0015145061290169
2015-01-19,BTCUSD,0.0011917858452511
2015-01-20,BTCUSD,0.0004234198207522
2015-01-21,BTCUSD,0.0019935762542916
2015-01-22,BTCUSD,0.0003440120404214
2015-01-23,BTCUSD,0.0009071078378437
2015-01-24,BTCUSD,0.0009279993544353
2015-01-25,BTCUSD,0.0013401127271294
2015-01-26,BTCUSD,0.000255339327728
2015-01-27,BTCUSD,0.0010581610672309
2015-01-28,BTCUSD,0.0011000169233373
2015-01-29,BTCUSD,0.000302447665752
2015-01-30,BTCUSD,0.0012673440402053
2015-01-31,BTCUSD,9.029753036259078e-05
2015-02-01,BTCUSD,0.000528006336076
2015-02-02,BTCUSD,0.0004980906524986
2015-02-03,BTCUSD,8.706630098824706e-05
2015-02-04,BTCUSD,0.0015913712315445
2015-02-05,BTCUSD,4.60436954669563e-05
2015-02-06,BTCUSD,0.000179075077226
2015-02-07,BTCUSD,0.0009173710766005
2015-02-08,BTCUSD,0.0008917822267802
2015-02-09,BTCUSD,0.0009999090991727
2015-02-10,BTCUSD,0.0002258610954263
2015-02-11,BTCUSD,0.0022384139238482
2015-02-12,BTCUSD,0.0002241800614253
2015-02-13,BTCUSD,0.0012697337791508
2015-02-14,BTCUSD,0.0006950075292482
2015-02-15,BTCUSD,0.00042744176106
2015-02-16,BTCUSD,0.0009291717700722
2015-02-17,BTCUSD,0.0021848012037018
2015-02-18,BTCUSD,0.001235751571322
2015-02-19,BTCUSD,4.143961212519282e-05
2015-02-20,BTCUSD,0.0002853125191057
2015-02-21,BTCUSD,0.0004077471967381
2015-02-22,BTCUSD,0.0019031105284304
2015-02-23,BTCUSD,0.0019659925124965
2015-02-24,BTCUSD,0.0001251225157967
2015-02-25,BTCUSD,0.000883187887709
2015-02-26,BTCUSD,0.0005904183535761
2015-02-27,BTCUSD,0.0001939676074096
2015-02-28,BTCUSD,0.0001953773713928
2015-03-01,BTCUSD,0.0004585227924038
2015-03-02,BTCUSD,0.0002185235094875
2015-03-03,BTCUSD,0.0005658108777142
2015-03-04,BTCUSD,0.0017599178704994
2015-03-05,BTCUSD,0.0014074595355385
2015-03-06,BTCUSD,0.0009124254092227
2015-03-07,BTCUSD,0.0003979955496861
2015-03-08,BTCUSD,0.0007284382284383
2015-03-09,BTCUSD,0.0013058419243986
2015-03-10,BTCUSD,6.784950978723008e-05
2015-03-11,BTCUSD,0.0010456546303948
2015-03-12,BTCUSD,6.761096649870461e-05
2015-03-13,BTCUSD,6.946615261727155e-05
2015-03-14,BTCUSD,0.0001057026584217
2015-03-15,BTCUSD,6.965971230532482e-05
2015-03-16,BTCUSD,0.0002404630631558
2015-03-17,BTCUSD,0.0023904102365803
2015-03-18,BTCUSD,3.906478895255318e-05
2015-03-19,BTCUSD,0.0002290251164211
2015-03-20,BTCUSD,0.0007234374702533
2015-03-21,BTCUSD,0.0008441408947894
2015-03-22,BTCUSD,0.0012275187382594
2015-03-23,BTCUSD,0.0004106852843993
2015-03-24,BTCUSD,0.0013661202185792
2015-03-25,BTCUSD,0.0002031157963155
2015-03-26,BTCUSD,0.0011627673863796
2015-03-27,BTCUSD,8.062565508337422e-05
2015-03-28,BTCUSD,0.0004733167672464
2015-03-29,BTCUSD,4.115311014626188e-05
2015-03-30,BTCUSD,0.0010089392013237
2015-03-31,BTCUSD,0.0006081615277017
2015-04-01,BTCUSD,0.0001218051523579
2015-04-02,BTCUSD,0.0018253243918892
2015-04-03,BTCUSD,0.0007489308027355
2015-04-04,BTCUSD,0.0001972970306796
2015-04-05,BTCUSD,3.879051184076846e-05
2015-04-06,BTCUSD,0.0005461283401601
2015-04-07,BTCUSD,7.830546963698292e-05
2015-04-08,BTCUSD,0.0008527053091057
2015-04-09,BTCUSD,0.0005353208836912
2015-04-10,BTCUSD,0.00102424035507
2015-04-11,BTCUSD,0.0006788866259334
2015-04-12,BTCUSD,4.237377910545098e-05
